rfi_id,project_name,submission_date,response_date,status,topic,description,delay_flag,days_to_close,assigned_to,priority_level,cost_impact_estimate,project_phase,rfi_type,response_quality
68,East Lindamouth Bypass Project,2025-02-19,2025-03-02,Open,Pavement Materials,Film section million option fear participant probably among music good others way understand citizen evidence society executive together main.,True,11,Civil Engineer,High,117578.77,Excavation,Clarification,2
69,Mannside Bypass Project,2025-01-27,2025-01-31,Closed,Road Grading,Difference task investment yet lay agree language ask cause fear authority natural along or show.,False,4,DOT Inspector,Low,9778.22,Paving,Clarification,5
70,South Emma Bypass Project,2025-04-15,2025-05-14,Open,Utility Relocation,Technology subject serious thus vote teach offer sure education money defense.,True,29,Civil Engineer,High,162189.65,Preconstruction,Design Change,5
71,North Joseph Bypass Project,2025-01-31,2025-02-07,Closed,Lane Closures,Response identify eye others many would dark lawyer into knowledge store recognize deep return similar argue.,False,7,Subcontractor,Low,2840.07,Preconstruction,Clarification,5
72,Morenomouth Bypass Project,2025-02-25,2025-03-15,Open,Road Grading,Special goal culture artist author marriage recently letter store sell people often bring.,False,18,Subcontractor,Medium,41916.99,Excavation,Conflict Resolution,3
73,East Anthonyville Bypass Project,2025-04-13,2025-04-16,Open,Bridge Joint Design,Edge wind drop sit under hospital care upon middle system election despite third two administration space.,False,3,Civil Engineer,Low,3028.91,Paving,Material Substitution,3
74,Lamberttown Bypass Project,2025-01-08,2025-01-16,Answered,Utility Relocation,Fear allow store rich road agent although after within military executive standard street positive per office describe.,True,8,Subcontractor,Medium,13856.83,Preconstruction,Clarification,4
75,Lake Benjamin Bypass Project,2025-02-25,2025-03-14,Answered,Stormwater Drainage,Doctor bit generation idea can accept since check analysis own above leader.,False,17,Subcontractor,Medium,45879.15,Excavation,Design Change,4
76,Jonesborough Bypass Project,2024-11-02,2024-12-02,Open,Utility Relocation,Window wife off material life never color challenge economy line.,True,30,Subcontractor,High,139567.46,Inspection,Material Substitution,5
77,West Frank Bypass Project,2024-11-15,2024-11-27,Answered,Bridge Joint Design,Through same return character scene member task several statement five east she car health design guy simple performance.,True,12,Subcontractor,Medium,18700.54,Excavation,Clarification,3
78,West Brentport Bypass Project,2024-11-08,2024-11-14,Open,Soil Compaction,Run throw save member the air institution service various benefit left player.,True,6,DOT Inspector,Low,5720.08,Paving,Design Change,3
79,Robertschester Bypass Project,2025-03-27,2025-04-23,Closed,Traffic Signage,All around nearly base situation official high now return mean from.,True,27,General Contractor,High,127692.89,Excavation,Design Change,4
80,New Stephanieburgh Bypass Project,2025-02-19,2025-02-25,Pending Review,Bridge Joint Design,Action author do show member nothing thank identify girl indicate conference key fact physical economic allow issue concern event rather example consumer partner.,False,6,DOT Inspector,Low,3415.46,Paving,Clarification,5
81,North Maryton Bypass Project,2025-03-13,2025-04-02,Closed,Traffic Signage,On even skill network behind hard control traditional action reduce family issue decision language still trade she when.,False,20,Subcontractor,Medium,34595.51,Excavation,Material Substitution,5
82,South Andrew Bypass Project,2024-12-05,2024-12-24,Closed,Road Grading,Government argue issue billion trial stay either school society left represent central able before woman day per book source manage.,True,19,General Contractor,High,142024.97,Paving,Conflict Resolution,5
83,West Julia Bypass Project,2025-04-01,2025-04-08,Open,Guardrail Placement,Series church rate present event result trade she improve lose eat data.,False,7,Civil Engineer,Low,7771.74,Preconstruction,Clarification,3
84,Mcguireton Bypass Project,2025-02-13,2025-02-18,Answered,Road Grading,Ten first test side try often particular shoulder culture simply bad professor join hour site common least.,False,5,Civil Engineer,Low,8432.22,Excavation,Design Change,4
85,Danielville Bypass Project,2025-02-07,2025-02-19,Closed,Stormwater Drainage,Sometimes half continue number outside whole treatment message guess race last range myself attention voice.,True,12,DOT Inspector,Medium,25022.09,Inspection,Clarification,2
86,South Phyllistown Bypass Project,2024-12-04,2024-12-18,Answered,Traffic Signage,Drop need growth year bad season day test reach student like job computer kitchen eye.,True,14,General Contractor,High,117211.91,Excavation,Clarification,2
87,Michaelhaven Bypass Project,2025-04-07,2025-04-25,Open,Soil Compaction,Them economic region point many claim throw prepare performance pattern mean measure eye week nature.,False,18,Subcontractor,Medium,49993.95,Preconstruction,Material Substitution,5
88,North Carolynmouth Bypass Project,2025-03-15,2025-03-23,Pending Review,Traffic Signage,Theory parent fund somebody focus alone admit treatment major once local table pay consider action.,True,8,Civil Engineer,Low,2012.3,Excavation,Material Substitution,2
89,Salinaston Bypass Project,2024-11-17,2024-11-24,Pending Review,Pavement Materials,Just environment after realize make carry rate share series these what issue century later fast organization top type reason look.,False,7,Civil Engineer,Medium,21568.44,Paving,Clarification,3
90,Madisonborough Bypass Project,2025-02-22,2025-03-17,Open,Guardrail Placement,Specific money change take there south finally to each degree action his occur spring study dog eye development idea half about change technology open.,True,23,DOT Inspector,High,65931.31,Inspection,Material Substitution,2
91,Jessicaton Bypass Project,2025-04-01,2025-04-13,Pending Review,Road Grading,Across their decide participant ten center what contain few yourself bad bank national foot sure.,True,12,General Contractor,Medium,10497.12,Paving,Conflict Resolution,5
92,Sarahside Bypass Project,2025-02-07,2025-03-06,Pending Review,Stormwater Drainage,Southern child blue question itself experience should growth inside growth fire.,False,27,General Contractor,Medium,20637.34,Paving,Conflict Resolution,4
93,Jennifermouth Bypass Project,2024-11-16,2024-11-19,Open,Utility Relocation,Past describe although by his without no direction everything major board.,True,3,DOT Inspector,High,110594.74,Inspection,Material Substitution,3
94,North Rachel Bypass Project,2024-11-06,2024-11-26,Closed,Soil Compaction,Artist remember popular discover pass able Congress lot anyone suffer say yet trouble business town.,True,20,Subcontractor,Medium,15759.3,Preconstruction,Design Change,2
95,Millerbury Bypass Project,2024-11-19,2024-12-13,Answered,Bridge Joint Design,Tell then sister table decision happen little art from keep catch which PM military sort.,True,24,General Contractor,High,124819.93,Excavation,Design Change,5
96,Lake Stephen Bypass Project,2024-11-30,2024-12-05,Answered,Traffic Signage,Us dinner receive page worry always source body ability difficult cut ago effect network.,True,5,Subcontractor,Medium,22970.89,Paving,Conflict Resolution,4
97,Lake Meganfort Bypass Project,2025-02-16,2025-02-24,Pending Review,Stormwater Drainage,Home establish station wall beautiful claim sit hotel accept hear large continue stuff prove smile.,False,8,Civil Engineer,Medium,15970.82,Excavation,Material Substitution,4
98,Christianfort Bypass Project,2024-12-15,2024-12-28,Pending Review,Utility Relocation,The not interest loss kind loss fight play close find rule book nothing finish reach technology collection American none raise small may.,False,13,DOT Inspector,Medium,28414.79,Paving,Conflict Resolution,5
99,North Karenhaven Bypass Project,2025-02-07,2025-03-06,Closed,Stormwater Drainage,Partner value black better again us drug traditional line small.,True,27,Subcontractor,Medium,27934.42,Paving,Design Change,3
100,South Mariaville Bypass Project,2024-11-22,2024-12-08,Answered,Bridge Joint Design,South force indeed source office find shake age less song show guy dog.,False,16,DOT Inspector,Medium,38054.91,Paving,Conflict Resolution,5
101,North Victoriatown Bypass Project,2024-11-19,2024-11-29,Open,Bridge Joint Design,Water important ever race focus show win hand hope both pay hear forget analysis street understand as whether fight to man generation computer.,True,10,General Contractor,Medium,31953.65,Paving,Design Change,4
102,North James Bypass Project,2025-02-24,2025-03-06,Pending Review,Guardrail Placement,Drop blue sit usually analysis visit sea same sing respond recently not country spring me.,True,10,Civil Engineer,Medium,29846.94,Inspection,Material Substitution,2
103,Port Ashleymouth Bypass Project,2025-01-25,2025-02-10,Closed,Bridge Joint Design,Put group together specific step strategy modern mind meeting investment government radio skin body.,True,16,Subcontractor,Medium,14466.48,Paving,Clarification,5
104,Port Janet Bypass Project,2025-03-29,2025-04-07,Answered,Soil Compaction,Contain cover firm last generation pass partner subject player environmental test none financial manage remember training.,False,9,Subcontractor,Medium,15801.52,Inspection,Material Substitution,3
105,North Kevinburgh Bypass Project,2025-03-25,2025-04-22,Open,Soil Compaction,Talk poor including pay growth case ahead well carry evening likely use wind much lot south crime PM grow because beautiful let less.,True,28,Subcontractor,High,94068.74,Paving,Clarification,2
106,Lake Danielberg Bypass Project,2025-03-23,2025-04-01,Pending Review,Stormwater Drainage,Leave add effort type such ahead food service middle possible particular pretty.,True,9,DOT Inspector,Medium,32788.52,Excavation,Conflict Resolution,5
107,Farmerfurt Bypass Project,2024-12-25,2024-12-31,Closed,Traffic Signage,Occur past specific action house so responsibility attack light account usually head fact nearly imagine law.,False,6,General Contractor,Medium,29814.11,Preconstruction,Conflict Resolution,5
108,New Karenshire Bypass Project,2024-12-02,2024-12-30,Answered,Traffic Signage,Measure image however Mr chair effort in else too since throughout respond example statement fund understand option.,False,28,General Contractor,Low,4577.45,Paving,Clarification,4
109,Hardingside Bypass Project,2025-03-24,2025-04-22,Answered,Lane Closures,Memory true score I become professional would many hotel cold bag happy establish American day provide one.,False,29,DOT Inspector,Low,1750.54,Preconstruction,Clarification,5
110,Emilystad Bypass Project,2025-04-08,2025-04-22,Pending Review,Guardrail Placement,Guess out check shoulder get day door century interesting camera loss himself describe month.,True,14,General Contractor,Medium,26024.59,Preconstruction,Design Change,4
111,Stevenview Bypass Project,2025-04-01,2025-04-29,Closed,Lane Closures,Fill huge pattern memory newspaper sister decade no science keep bring rock player support wall citizen entire size poor.,True,28,General Contractor,High,72457.11,Paving,Design Change,3
112,South Kimberlystad Bypass Project,2024-11-17,2024-12-13,Pending Review,Pavement Materials,Management fire late level enough the be role other possible reach attack.,True,26,Subcontractor,Low,3592.9,Paving,Design Change,3
113,Angelhaven Bypass Project,2025-02-16,2025-02-22,Pending Review,Lane Closures,Perhaps along like majority just fill marriage establish discuss than word across thousand floor not check note staff myself.,False,6,Civil Engineer,Medium,27576.26,Preconstruction,Material Substitution,3
114,East Susan Bypass Project,2025-02-10,2025-02-13,Answered,Road Grading,Measure perhaps safe than will key information draw occur hotel line whole only possible relate test the.,True,3,DOT Inspector,Medium,49819.24,Preconstruction,Design Change,4
115,Ronaldtown Bypass Project,2024-12-22,2025-01-18,Closed,Soil Compaction,Rate across by sometimes view group bank low join room husband return forward he between fill science church senior bank.,False,27,Subcontractor,Medium,26079.08,Excavation,Design Change,2
116,Lake Kimberlyview Bypass Project,2025-04-06,2025-04-21,Pending Review,Soil Compaction,Third finally paper kitchen today machine onto peace according cold last impact represent establish usually minute.,True,15,Civil Engineer,Medium,26901.73,Preconstruction,Clarification,2
117,Lake Loganberg Bypass Project,2025-03-10,2025-03-18,Closed,Pavement Materials,Common view material choose everything research contain mind perform church cost agreement.,False,8,Civil Engineer,High,104478.85,Inspection,Design Change,4
118,East Sharon Bypass Project,2025-03-18,2025-04-03,Open,Traffic Signage,Structure require young talk every realize baby prepare glass camera standard coach without few ability page.,True,16,Civil Engineer,High,198091.71,Preconstruction,Material Substitution,4
119,Thomasside Bypass Project,2025-02-04,2025-02-26,Answered,Guardrail Placement,Glass American we science tree might TV color certainly late list good act type smile beyond hot responsibility.,True,22,Civil Engineer,High,155023.18,Preconstruction,Material Substitution,2
120,Carterchester Bypass Project,2024-11-25,2024-12-19,Open,Soil Compaction,Room whose seek claim establish present area short process here score kind there plan land.,False,24,DOT Inspector,Low,9317.52,Preconstruction,Clarification,5
121,East Andreaborough Bypass Project,2025-02-09,2025-03-06,Answered,Traffic Signage,Include allow level stop indeed together unit capital know difficult state top consumer cover than.,False,25,DOT Inspector,Low,8050.78,Paving,Conflict Resolution,5
122,Kennedystad Bypass Project,2025-02-16,2025-02-26,Pending Review,Bridge Joint Design,Either big field participant nation direction rise law campaign chance particularly dream painting husband age a break why particularly already nor sign.,False,10,Subcontractor,Low,7710.58,Paving,Material Substitution,2
123,Glennmouth Bypass Project,2024-12-26,2024-12-29,Closed,Traffic Signage,Skin Mr level teacher enter trip ask policy she couple air here onto you.,True,3,DOT Inspector,High,144971.16,Inspection,Design Change,4
124,Cookton Bypass Project,2025-04-07,2025-05-04,Open,Pavement Materials,Case and understand physical politics defense person investment policy stuff view unit son.,True,27,General Contractor,Medium,48277.7,Inspection,Conflict Resolution,5
125,South Aprilfurt Bypass Project,2025-04-03,2025-04-22,Open,Lane Closures,Three believe likely they those page until wear result money same as vote mother whom.,False,19,Subcontractor,Medium,33837.18,Paving,Clarification,3
126,East Amanda Bypass Project,2025-02-14,2025-02-19,Closed,Road Grading,Bit himself sit serious body while bit wife night north thing today note painting of tax about today work better.,False,5,General Contractor,Medium,44387.68,Excavation,Clarification,3
127,Paigemouth Bypass Project,2025-04-14,2025-04-17,Closed,Utility Relocation,Democratic sign girl man dream water recognize bad this long away thing.,False,3,Subcontractor,Low,4199.96,Excavation,Design Change,2
128,Lake Bradleymouth Bypass Project,2025-03-30,2025-04-23,Closed,Bridge Joint Design,Wait poor reflect study seven issue place administration system close seat total suddenly value where enter direction.,True,24,DOT Inspector,Medium,33399.49,Inspection,Material Substitution,2
129,Riosland Bypass Project,2025-03-02,2025-03-24,Answered,Stormwater Drainage,Worker space end science among indicate hospital possible score she or team summer develop knowledge city modern fact however shoulder series ground white discover suggest.,False,22,DOT Inspector,Medium,16926.71,Excavation,Material Substitution,5
130,Port Scottside Bypass Project,2024-12-01,2024-12-21,Closed,Traffic Signage,West test yard member social throughout sometimes car place subject thus million whatever see others receive until important matter step admit open sense than.,True,20,Civil Engineer,High,63428.45,Preconstruction,Design Change,3
131,South Timothy Bypass Project,2025-01-07,2025-01-26,Pending Review,Guardrail Placement,Build improve history letter entire prove third player account tax stay tell phone trip sport surface the development part if challenge onto.,False,19,Subcontractor,Low,6566.91,Inspection,Conflict Resolution,5
